date,year,month,day,day_of_year,rainfall_mm,temperature_max,temperature_min,humidity,cloud_cover,sunshine_hours,wind_speed,pressure,dew_point,evapotranspiration,is_monsoon,previous_7day_rainfall,previous_30day_rainfall
2000-01-23,2000,1,23,23,1.28,22.0,16.9,72.6,38.5,9.9,7.5,1004.3,16.6,1.31,0,0.73,0.45
2000-01-24,2000,1,24,24,2.86,22.0,17.3,75.3,30.1,8.2,9.2,1005.4,17.5,1.0,0,1.01,0.55
2000-01-25,2000,1,25,25,0.0,22.0,16.2,65.8,38.5,6.4,9.8,1006.2,14.9,1.06,0,1.01,0.53
2000-01-26,2000,1,26,26,0.0,22.0,16.0,63.2,37.2,9.4,10.9,1003.0,14.3,1.0,0,0.59,0.51
2000-01-27,2000,1,27,27,0.0,22.0,17.8,72.3,34.5,6.8,5.4,1006.8,16.6,1.0,0,0.59,0.49
2000-01-28,2000,1,28,28,0.57,22.6,16.2,69.0,37.9,7.5,15.1,1006.3,16.3,1.0,0,0.67,0.5
2000-01-29,2000,1,29,29,0.0,22.0,17.5,68.5,39.6,7.7,15.5,1001.4,15.5,1.02,0,0.67,0.48
2000-01-30,2000,1,30,30,0.0,22.0,16.0,73.9,43.6,8.0,7.5,1001.3,16.6,1.0,0,0.49,0.46
2000-01-31,2000,1,31,31,3.26,22.0,16.0,61.2,41.8,8.6,7.1,1006.4,14.2,1.0,0,0.55,0.57
2000-02-01,2000,2,1,32,1.55,23.8,17.3,66.5,17.3,9.7,7.8,1002.0,17.0,1.28,0,0.77,0.56
2000-02-02,2000,2,2,33,0.0,22.0,17.6,67.9,40.4,9.1,12.4,1003.7,15.1,1.16,0,0.77,0.56
2000-02-03,2000,2,3,34,0.0,23.3,17.8,74.2,26.5,8.8,9.8,1003.8,18.0,1.0,0,0.77,0.56
2000-02-04,2000,2,4,35,0.0,24.3,16.9,65.8,26.4,7.9,9.9,1004.9,17.9,1.0,0,0.69,0.56
2000-02-05,2000,2,5,36,0.0,25.9,17.2,63.8,42.1,7.4,15.3,1006.3,17.8,1.05,0,0.69,0.56
2000-02-06,2000,2,6,37,0.9,23.7,17.5,66.9,24.9,9.0,10.9,1007.2,17.6,1.0,0,0.82,0.59
2000-02-07,2000,2,7,38,0.58,23.3,17.5,68.6,42.2,7.1,13.1,1004.0,16.9,1.12,0,0.43,0.61
2000-02-08,2000,2,8,39,0.0,22.0,17.8,69.9,30.5,9.4,12.4,1006.6,16.7,1.0,0,0.21,0.61
2000-02-09,2000,2,9,40,0.0,25.3,16.0,70.9,47.4,5.7,10.6,1006.1,19.4,1.0,0,0.21,0.5
2000-02-10,2000,2,10,41,0.0,23.4,19.5,57.1,18.6,10.3,6.0,1005.1,14.9,1.17,0,0.21,0.5
2000-02-11,2000,2,11,42,0.0,23.7,17.1,61.5,29.2,8.8,9.6,1005.8,16.6,1.0,0,0.21,0.5
2000-02-12,2000,2,12,43,0.54,23.9,17.2,68.1,10.5,9.8,7.8,1004.5,17.8,1.0,0,0.29,0.52
2000-02-13,2000,2,13,44,0.0,23.6,17.1,65.3,31.9,8.6,10.4,1004.7,16.7,1.0,0,0.16,0.52
2000-02-14,2000,2,14,45,0.0,23.5,17.7,65.8,17.7,11.2,12.1,1006.1,17.2,1.36,0,0.08,0.51
2000-02-15,2000,2,15,46,0.0,23.0,16.0,61.4,26.4,9.6,5.8,1002.6,15.1,1.0,0,0.08,0.51
2000-02-16,2000,2,16,47,0.0,24.8,17.0,64.7,22.7,9.0,8.9,1003.1,17.2,1.0,0,0.08,0.48
2000-02-17,2000,2,17,48,0.0,22.0,16.0,62.6,42.8,8.1,12.1,1005.9,13.9,1.0,0,0.08,0.48
2000-02-18,2000,2,18,49,0.0,22.0,17.1,65.3,25.7,8.1,13.8,1006.8,15.3,1.11,0,0.08,0.38
2000-02-19,2000,2,19,50,0.3,22.7,17.9,65.4,42.6,7.9,5.0,1005.9,15.7,1.0,0,0.04,0.39
2000-02-20,2000,2,20,51,0.0,25.9,18.5,64.4,20.3,11.1,7.9,1004.3,18.8,1.1,0,0.04,0.39
2000-02-21,2000,2,21,52,0.0,24.8,17.8,64.0,1.1,10.7,9.5,1004.9,17.6,1.0,0,0.04,0.39
2000-02-22,2000,2,22,53,4.61,23.3,18.3,64.2,35.1,9.1,9.2,1001.8,15.7,1.0,0,0.7,0.51
2000-02-23,2000,2,23,54,0.0,23.1,16.0,69.0,19.9,9.0,6.5,1005.6,17.3,1.0,0,0.7,0.41
2000-02-24,2000,2,24,55,3.03,24.3,18.3,68.4,38.9,7.9,5.0,1003.1,18.7,1.0,0,1.13,0.51
2000-02-25,2000,2,25,56,0.0,25.1,19.7,62.5,24.7,8.1,7.8,1002.6,17.4,1.0,0,1.13,0.51
2000-02-26,2000,2,26,57,0.0,26.6,18.8,65.6,32.0,9.5,5.0,1007.8,19.3,1.21,0,1.09,0.51
2000-02-27,2000,2,27,58,0.0,27.8,17.4,70.2,36.3,7.3,7.7,1005.2,21.4,1.0,0,1.09,0.49
2000-02-28,2000,2,28,59,0.0,24.6,18.6,58.3,41.6,7.5,10.8,1003.1,16.3,1.0,0,1.09,0.49
2000-02-29,2000,2,29,60,10.28,28.2,20.1,63.4,36.9,9.1,12.8,1002.5,20.2,1.86,0,1.9,0.83
2000-03-01,2000,3,1,61,2.1,25.1,19.2,63.0,27.0,9.6,9.7,1005.1,18.3,1.23,0,2.2,0.8
2000-03-02,2000,3,2,62,33.38,25.6,19.3,72.9,46.5,7.9,19.0,1000.4,20.4,1.0,0,6.54,1.86
2000-03-03,2000,3,3,63,1.0,26.7,17.7,59.8,29.3,9.7,13.1,1007.5,18.5,1.3,0,6.68,1.89
2000-03-04,2000,3,4,64,18.46,27.0,18.3,71.1,37.8,8.4,7.3,998.7,21.1,1.04,0,9.32,2.51
2000-03-05,2000,3,5,65,1.73,27.8,18.7,61.8,40.1,9.4,8.1,1004.3,20.3,1.13,0,9.56,2.56
2000-03-06,2000,3,6,66,0.0,23.7,21.1,65.5,23.2,10.0,11.7,1005.0,16.4,1.0,0,9.56,2.56
2000-03-07,2000,3,7,67,12.49,25.9,17.9,63.5,28.8,8.9,11.9,1003.1,19.0,1.0,0,9.88,2.95
2000-03-08,2000,3,8,68,15.46,27.7,19.4,63.5,23.6,9.3,13.5,1005.0,19.7,1.31,0,11.79,3.45
2000-03-09,2000,3,9,69,4.7,24.3,20.0,62.3,46.4,7.0,8.6,1005.2,16.3,1.0,0,7.69,3.6
2000-03-10,2000,3,10,70,31.95,23.2,20.1,70.0,33.6,8.5,5.0,1002.2,17.2,1.0,0,12.11,4.67
2000-03-11,2000,3,11,71,8.73,23.9,19.0,60.9,27.3,9.9,12.4,1002.7,17.0,1.0,0,10.72,4.96
2000-03-12,2000,3,12,72,17.05,26.1,19.0,67.5,22.4,8.6,11.1,1002.0,19.3,1.0,0,12.91,5.53
2000-03-13,2000,3,13,73,10.59,29.4,21.8,62.4,22.2,8.2,6.4,1005.0,21.4,1.0,0,14.42,5.86
2000-03-14,2000,3,14,74,8.26,24.3,19.3,71.7,37.4,6.8,7.6,1002.7,19.5,1.0,0,13.82,6.14
2000-03-15,2000,3,15,75,9.12,24.9,19.2,64.1,24.6,8.8,9.7,1009.0,18.2,1.0,0,12.91,6.44
2000-03-16,2000,3,16,76,2.64,26.0,20.9,63.1,32.5,8.7,5.0,1005.6,19.0,1.14,0,12.62,6.53
2000-03-17,2000,3,17,77,0.0,25.4,20.0,55.3,27.2,10.4,12.1,1005.2,15.1,1.0,0,8.06,6.53
2000-03-18,2000,3,18,78,0.0,25.3,18.4,62.5,20.9,9.9,6.2,1004.8,17.4,1.0,0,6.81,6.53
2000-03-19,2000,3,19,79,5.46,24.1,21.2,59.5,15.0,10.7,5.0,1002.4,16.1,1.09,0,5.15,6.71
2000-03-20,2000,3,20,80,2.39,26.5,19.6,65.0,25.9,9.9,12.9,1006.3,19.7,1.0,0,3.98,6.78
2000-03-21,2000,3,21,81,22.7,30.4,19.7,61.9,30.4,9.6,6.9,1000.6,22.5,1.0,0,6.04,7.54
2000-03-22,2000,3,22,82,11.0,28.4,23.5,64.6,25.9,10.5,6.8,1007.2,20.5,1.0,0,6.31,7.9
2000-03-23,2000,3,23,83,1.21,29.5,20.1,64.8,25.3,9.1,7.7,1006.8,22.1,1.0,0,6.11,7.79
2000-03-24,2000,3,24,84,0.0,26.9,20.6,60.8,14.9,10.2,7.1,1006.3,18.0,1.0,0,6.11,7.79
2000-03-25,2000,3,25,85,8.21,26.7,21.7,63.1,29.4,8.7,7.9,1005.8,19.1,1.0,0,7.28,7.96
2000-03-26,2000,3,26,86,0.0,28.9,19.5,65.4,26.1,10.6,7.7,1005.6,21.7,1.38,0,6.5,7.96
2000-03-27,2000,3,27,87,29.43,28.4,21.4,66.1,25.8,10.1,10.6,1003.3,21.3,1.0,0,10.36,8.94
2000-03-28,2000,3,28,88,0.03,28.3,22.0,55.3,16.2,10.6,5.0,1004.4,18.7,1.0,0,7.13,8.95
2000-03-29,2000,3,29,89,0.0,31.0,22.5,55.8,19.6,11.9,14.5,1004.6,21.1,1.6,0,5.55,8.95
2000-03-30,2000,3,30,90,0.0,27.4,21.8,56.0,16.3,10.2,13.0,1003.8,17.7,1.14,0,5.38,8.6
2000-03-31,2000,3,31,91,0.0,27.4,19.8,61.7,14.7,9.8,5.6,1005.4,19.2,1.0,0,5.38,8.53
2000-04-01,2000,4,1,92,1.7,30.2,21.8,59.6,28.9,8.1,5.0,1008.5,21.7,1.09,0,4.45,7.48
2000-04-02,2000,4,2,93,7.36,30.1,19.7,67.2,33.0,9.2,10.0,1005.3,23.5,1.03,0,5.5,7.69
2000-04-03,2000,4,3,94,8.63,27.6,22.9,65.7,30.4,8.1,9.0,1001.8,20.3,1.0,0,2.53,7.36
2000-04-04,2000,4,4,95,0.0,29.4,22.8,61.5,11.5,11.5,5.0,1007.5,20.6,1.0,0,2.53,7.3
2000-04-05,2000,4,5,96,6.86,26.8,21.9,56.2,37.1,8.2,6.2,1002.0,17.4,1.06,0,3.51,7.53
2000-04-06,2000,4,6,97,0.8,30.0,21.9,62.8,24.5,9.2,5.0,1007.4,22.5,1.0,0,3.62,7.14
2000-04-07,2000,4,7,98,10.15,29.0,21.8,69.5,27.2,10.1,6.8,1004.6,23.0,1.02,0,5.07,6.97
2000-04-08,2000,4,8,99,5.69,29.5,21.9,63.2,30.4,8.6,10.0,1004.9,21.9,1.0,0,5.64,7.0
2000-04-09,2000,4,9,100,11.92,28.3,23.2,61.3,23.9,9.2,9.9,1006.1,19.8,1.0,0,6.29,6.33
2000-04-10,2000,4,10,101,9.31,31.9,21.7,58.1,0.4,12.1,5.0,1007.0,22.6,1.0,0,6.39,6.35
2000-04-11,2000,4,11,102,0.0,30.7,24.8,64.4,25.1,9.2,6.3,1004.4,23.0,1.28,0,6.39,5.78
2000-04-12,2000,4,12,103,7.34,31.9,22.5,64.1,33.9,9.4,9.5,1000.6,24.3,1.0,0,6.46,5.67
2000-04-13,2000,4,13,104,12.84,30.4,23.9,60.3,28.1,10.5,12.4,1005.2,21.4,1.0,0,8.18,5.83
2000-04-14,2000,4,14,105,10.53,32.5,20.5,66.6,12.7,12.8,9.1,1002.0,25.3,1.49,0,8.23,5.87
2000-04-15,2000,4,15,106,8.21,28.0,21.9,64.2,32.7,8.6,9.6,1002.6,20.2,1.05,0,8.59,6.06
2000-04-16,2000,4,16,107,23.19,31.0,23.8,75.2,38.2,7.9,9.1,1003.6,26.0,1.0,0,10.2,6.83
2000-04-17,2000,4,17,108,12.3,32.9,23.2,62.6,29.4,8.2,7.5,1002.9,24.6,1.3,0,10.63,7.24
2000-04-18,2000,4,18,109,3.48,28.3,22.9,64.0,12.7,11.3,6.5,1003.3,20.8,1.0,0,11.13,7.18
2000-04-19,2000,4,19,110,6.97,31.6,24.2,68.8,24.0,10.9,8.6,1003.5,24.7,1.32,0,11.07,7.33
2000-04-20,2000,4,20,111,0.0,32.4,25.6,62.9,14.8,9.8,5.0,1007.4,23.6,1.24,0,9.24,6.57
2000-04-21,2000,4,21,112,0.0,31.1,21.8,60.6,29.9,8.1,5.0,1004.0,23.0,1.0,0,7.74,6.21
2000-04-22,2000,4,22,113,8.52,33.3,24.4,63.6,30.7,11.5,10.2,1004.2,24.7,1.67,0,7.78,6.45
2000-04-23,2000,4,23,114,1.75,33.4,22.8,61.0,18.8,9.4,7.6,1007.3,25.3,1.0,0,4.72,6.51
2000-04-24,2000,4,24,115,6.87,31.1,24.5,62.5,20.3,9.7,5.9,1003.8,22.7,1.0,0,3.94,6.46
2000-04-25,2000,4,25,116,6.82,31.6,23.0,61.9,23.7,8.1,9.1,1002.3,23.9,1.0,0,4.42,6.69
2000-04-26,2000,4,26,117,4.98,30.6,24.3,68.6,31.6,7.0,6.6,1003.9,24.5,1.02,0,4.13,5.88
2000-04-27,2000,4,27,118,1.75,32.9,24.5,66.9,34.8,8.7,9.3,1000.8,25.7,1.0,0,4.38,5.93
2000-04-28,2000,4,28,119,1.79,32.9,23.0,65.8,20.1,11.3,8.8,1005.1,25.1,1.0,0,4.64,5.99
2000-04-29,2000,4,29,120,0.02,32.7,23.3,63.0,28.6,9.4,7.5,1004.3,25.0,1.0,0,3.43,5.99
2000-04-30,2000,4,30,121,9.57,33.0,23.8,67.1,28.0,7.8,6.3,1001.8,25.6,1.0,0,4.54,6.31
2000-05-01,2000,5,1,122,9.99,31.7,22.1,60.4,4.4,11.8,7.3,1008.6,22.5,1.61,0,4.99,6.59
2000-05-02,2000,5,2,123,4.97,30.9,24.7,67.6,26.1,8.4,7.0,1002.5,24.3,1.0,0,4.72,6.51
2000-05-03,2000,5,3,124,5.35,33.9,26.0,65.2,32.8,8.2,5.8,1006.5,26.0,1.29,0,4.78,6.4
2000-05-04,2000,5,4,125,0.0,33.0,22.8,58.0,19.1,10.5,8.7,1006.3,22.5,1.26,0,4.53,6.4
2000-05-05,2000,5,5,126,8.57,31.9,25.2,70.9,36.8,8.6,10.6,1003.3,25.8,1.0,0,5.5,6.46
2000-05-06,2000,5,6,127,2.31,32.5,24.9,63.6,34.3,9.1,12.3,1005.8,24.3,1.14,0,5.82,6.51
2000-05-07,2000,5,7,128,3.46,35.1,23.8,67.9,40.8,9.1,8.9,1004.0,26.0,1.52,0,4.95,6.28
2000-05-08,2000,5,8,129,27.72,35.1,27.1,74.3,33.9,8.9,13.1,1002.2,26.0,1.0,0,7.48,7.02
2000-05-09,2000,5,9,130,6.99,34.9,26.1,63.1,40.3,7.7,7.6,1003.7,26.0,1.0,0,7.77,6.85
2000-05-10,2000,5,10,131,3.28,34.0,26.3,68.3,33.0,9.5,8.8,1006.2,26.0,1.0,0,7.48,6.65
2000-05-11,2000,5,11,132,11.9,33.2,25.0,66.2,22.0,8.8,12.1,1004.4,25.9,1.0,0,9.18,7.05
2000-05-12,2000,5,12,133,3.35,36.3,23.2,59.1,27.4,9.7,9.4,1005.2,26.0,1.27,0,8.43,6.92
2000-05-13,2000,5,13,134,9.36,33.9,25.3,71.3,34.7,10.0,17.3,1000.6,26.0,1.26,0,9.44,6.8
2000-05-14,2000,5,14,135,6.13,34.9,25.0,68.1,30.6,8.8,7.7,1005.1,26.0,1.0,0,9.82,6.65
2000-05-15,2000,5,15,136,1.86,33.4,26.5,66.0,23.0,9.6,5.0,1002.6,26.0,1.0,0,6.12,6.44
2000-05-16,2000,5,16,137,17.64,34.4,24.6,74.6,44.3,9.5,9.7,1001.1,26.0,1.19,0,7.65,6.26
2000-05-17,2000,5,17,138,1.47,30.9,27.0,61.2,30.7,9.5,14.6,1004.7,22.7,1.03,0,7.39,5.9
2000-05-18,2000,5,18,139,42.04,34.0,24.7,72.8,45.1,8.0,20.4,1006.3,26.0,1.05,0,11.69,7.18
2000-05-19,2000,5,19,140,12.98,32.8,26.4,66.3,30.3,9.6,10.9,1004.7,25.5,1.54,0,13.07,7.38
2000-05-20,2000,5,20,141,13.73,35.5,24.7,69.3,25.5,9.1,12.3,1001.1,26.0,1.2,0,13.69,7.84
2000-05-21,2000,5,21,142,0.86,34.4,25.7,67.6,48.2,8.5,13.5,1009.4,26.0,1.27,0,12.94,7.87
2000-05-22,2000,5,22,143,15.25,34.9,24.2,80.2,44.7,9.2,16.1,1001.3,26.0,1.02,0,14.85,8.09
2000-05-23,2000,5,23,144,15.52,38.0,25.9,71.4,49.3,7.3,6.0,1005.6,26.0,1.0,0,14.55,8.55
2000-05-24,2000,5,24,145,8.51,34.1,24.7,70.9,49.9,7.8,12.7,1007.0,26.0,1.13,0,15.56,8.61
2000-05-25,2000,5,25,146,6.66,35.9,26.7,64.0,45.7,8.7,16.1,1004.7,26.0,1.3,0,10.5,8.6
2000-05-26,2000,5,26,147,0.0,36.1,26.9,64.7,41.6,9.1,12.0,1002.5,26.0,1.08,0,8.65,8.43
2000-05-27,2000,5,27,148,35.9,34.5,26.1,69.4,51.6,8.2,10.6,1003.3,26.0,1.0,0,11.81,9.57
2000-05-28,2000,5,28,149,0.0,37.6,25.4,76.5,29.4,8.3,17.5,1004.8,26.0,1.23,0,11.69,9.51
2000-05-29,2000,5,29,150,0.0,38.0,26.7,60.0,47.8,8.2,13.2,1001.2,26.0,1.07,0,9.51,9.51
2000-05-30,2000,5,30,151,0.0,38.0,27.4,65.7,29.4,10.8,6.8,1004.3,26.0,1.09,0,7.3,9.19
2000-05-31,2000,5,31,152,40.62,34.8,26.2,78.6,69.5,6.0,15.8,1000.3,26.0,1.0,1,11.88,10.21
2000-06-01,2000,6,1,153,120.43,35.3,25.9,90.1,79.2,5.8,25.7,1002.5,26.0,1.0,1,28.14,14.06
2000-06-02,2000,6,2,154,95.34,33.4,25.0,83.8,85.4,3.9,22.4,1004.2,26.0,1.0,1,41.76,17.06
2000-06-03,2000,6,3,155,71.14,36.2,26.8,76.7,74.0,5.4,26.5,1002.6,26.0,1.0,1,46.79,19.43
2000-06-04,2000,6,4,156,223.82,36.4,27.9,82.8,82.2,4.2,26.5,1005.1,26.0,1.0,1,78.76,26.61
2000-06-05,2000,6,5,157,148.67,37.8,28.0,84.4,83.5,4.6,25.3,1003.7,26.0,1.0,1,100.0,31.49
2000-06-06,2000,6,6,158,55.58,38.0,27.0,79.5,63.9,6.7,17.9,1001.0,26.0,1.27,1,107.94,33.22
2000-06-07,2000,6,7,159,34.46,34.9,25.1,77.0,58.6,5.7,18.4,1001.6,26.0,1.0,1,107.06,33.45
2000-06-08,2000,6,8,160,48.62,37.1,26.2,78.7,64.1,6.1,26.1,1005.4,26.0,1.0,1,96.8,34.84
2000-06-09,2000,6,9,161,236.53,36.6,28.0,82.0,82.7,4.2,26.4,1002.4,26.0,1.0,1,116.97,42.61
2000-06-10,2000,6,10,162,63.97,36.8,27.9,79.9,68.9,5.2,24.4,1008.4,26.0,1.0,1,115.95,44.35
2000-06-11,2000,6,11,163,99.15,38.0,25.7,81.5,71.2,5.6,20.6,1000.5,26.0,1.0,1,98.14,47.54
2000-06-12,2000,6,12,164,393.02,37.3,28.0,84.5,80.7,3.7,23.7,1005.0,26.0,1.0,1,133.05,60.33
2000-06-13,2000,6,13,165,161.27,38.0,25.7,89.0,90.3,2.8,25.1,999.1,26.0,1.0,1,148.15,65.5
2000-06-14,2000,6,14,166,85.41,38.0,26.6,80.4,77.6,4.2,25.4,996.5,26.0,1.0,1,155.42,68.29
2000-06-15,2000,6,15,167,69.35,37.6,27.7,81.9,75.2,4.0,26.7,1003.7,26.0,1.0,1,158.39,70.01
2000-06-16,2000,6,16,168,64.36,36.2,27.1,85.3,70.9,4.8,19.7,998.3,26.0,1.0,1,133.79,72.11
2000-06-17,2000,6,17,169,203.3,38.0,26.8,89.2,93.5,4.6,26.3,1005.2,26.0,1.0,1,153.69,77.48
2000-06-18,2000,6,18,170,215.9,37.4,27.2,93.3,96.5,2.0,26.1,1005.0,26.0,1.0,1,170.37,84.25
2000-06-19,2000,6,19,171,185.58,38.0,28.0,90.4,71.9,4.6,30.0,1001.1,26.0,1.0,1,140.74,89.97
2000-06-20,2000,6,20,172,125.05,37.9,28.0,88.3,77.6,4.8,26.7,1001.6,26.0,1.0,1,135.56,94.11
2000-06-21,2000,6,21,173,35.12,34.4,27.7,83.4,67.2,4.9,17.7,998.3,26.0,1.0,1,128.38,94.78
2000-06-22,2000,6,22,174,138.07,36.1,26.6,87.7,94.8,2.3,19.9,999.4,26.0,1.0,1,138.2,98.86
2000-06-23,2000,6,23,175,99.51,37.9,27.5,83.4,91.4,2.4,25.9,1000.4,26.0,1.0,1,143.22,101.89
2000-06-24,2000,6,24,176,346.21,36.5,28.0,90.5,92.1,3.3,26.6,1000.1,26.0,1.0,1,163.63,113.21
2000-06-25,2000,6,25,177,130.53,38.0,28.0,87.2,98.7,2.4,26.3,1003.0,26.0,1.0,1,151.44,117.56
2000-06-26,2000,6,26,178,96.37,36.4,28.0,89.4,97.4,3.1,30.6,1005.7,26.0,1.0,1,138.69,119.58
2000-06-27,2000,6,27,179,133.34,37.8,28.0,85.7,90.7,3.6,28.9,1001.9,26.0,1.0,1,139.88,124.02
2000-06-28,2000,6,28,180,113.59,35.3,28.0,89.2,93.5,4.1,25.5,1002.5,26.0,1.0,1,151.09,127.81
2000-06-29,2000,6,29,181,114.25,38.0,27.6,86.1,83.1,3.8,25.5,1003.2,26.0,1.0,1,147.69,131.62
2000-06-30,2000,6,30,182,127.34,38.0,28.0,92.3,98.0,1.8,27.8,1000.2,26.0,1.0,1,151.66,134.51
2000-07-01,2000,7,1,183,61.21,38.0,24.1,87.7,88.3,3.0,21.4,1002.9,26.0,1.0,1,110.95,132.54
2000-07-02,2000,7,2,184,405.61,37.8,28.0,91.6,92.1,4.7,26.9,1001.2,26.0,1.0,1,150.24,142.88
2000-07-03,2000,7,3,185,83.6,36.9,28.0,88.5,92.2,1.7,27.7,1005.9,26.0,1.0,1,148.42,143.29
2000-07-04,2000,7,4,186,82.14,38.0,26.5,93.2,97.0,3.7,25.6,1001.5,26.0,1.0,1,141.11,138.57
2000-07-05,2000,7,5,187,278.05,38.0,28.0,93.1,100.0,3.4,27.3,1003.1,26.0,1.0,1,164.6,142.88
2000-07-06,2000,7,6,188,67.94,37.9,28.0,87.1,85.6,4.1,23.8,1002.2,26.0,1.0,1,157.98,143.3
2000-07-07,2000,7,7,189,365.57,37.1,25.5,88.6,92.0,2.5,35.0,1001.8,26.0,1.0,1,192.02,154.33
2000-07-08,2000,7,8,190,353.07,35.4,28.0,96.0,100.0,2.9,33.5,1003.2,26.0,1.0,1,233.71,164.48
2000-07-09,2000,7,9,191,282.65,38.0,28.0,83.6,99.8,1.8,27.6,1001.9,26.0,1.0,1,216.15,166.02
2000-07-10,2000,7,10,192,42.76,37.0,28.0,94.9,88.3,3.2,20.0,1002.1,26.0,1.0,1,210.31,165.31
2000-07-11,2000,7,11,193,184.21,37.3,28.0,90.3,89.5,3.7,19.9,1001.9,26.0,1.0,1,224.89,168.15
2000-07-12,2000,7,12,194,397.59,38.0,27.5,96.1,100.0,2.1,24.6,1006.7,26.0,1.0,1,241.97,168.3
2000-07-13,2000,7,13,195,192.37,36.5,28.0,95.2,97.1,1.9,31.9,1002.1,26.0,1.0,1,259.75,169.33
2000-07-14,2000,7,14,196,93.81,38.0,26.6,91.9,100.0,2.3,28.8,1003.9,26.0,1.0,1,220.92,169.61
2000-07-15,2000,7,15,197,421.05,36.4,28.0,95.4,100.0,2.9,30.1,1001.0,26.0,1.0,1,230.63,181.34
2000-07-16,2000,7,16,198,73.55,34.9,27.5,93.4,100.0,3.4,30.2,1001.8,26.0,1.0,1,200.76,181.64
2000-07-17,2000,7,17,199,167.24,36.9,28.0,97.7,100.0,3.0,28.3,1004.5,26.0,1.0,1,218.55,180.44
2000-07-18,2000,7,18,200,195.39,38.0,27.0,91.9,100.0,3.7,33.1,1003.1,26.0,1.0,1,220.14,179.76
2000-07-19,2000,7,19,201,267.44,38.0,28.0,97.9,100.0,2.6,31.4,1006.0,26.0,1.0,1,201.55,182.49
2000-07-20,2000,7,20,202,295.86,38.0,28.0,87.7,100.0,2.3,29.4,1001.6,26.0,1.0,1,216.33,188.18
2000-07-21,2000,7,21,203,63.17,37.4,27.9,96.2,100.0,3.9,27.3,1006.2,26.0,1.0,1,211.96,189.12
2000-07-22,2000,7,22,204,261.94,37.1,27.8,95.9,100.0,2.1,33.6,1002.3,26.0,1.0,1,189.23,193.25
2000-07-23,2000,7,23,205,71.91,35.9,28.0,96.7,92.7,3.8,31.5,1002.1,26.0,1.0,1,188.99,192.33
